Name,Value,Units,Comments
Bearing_638_Extension,0.2,mm,Extend inner diameter
Bearing_638_External_Diameter,28 + Bearing_638_Extension,mm,
Bearing_638_Inner_Diameter,8 + Bearing_638_Extension,mm,
Bearing_638_Inner_Ring_Diameter,14,mm,
Bearing_638_Thickness,9,mm,
