Name,Value,Units,Comments
Bearing_625_Extension,0.2,mm,Extend inner diameter
Bearing_625_External_Diameter,16 + Bearing_625_Extension,mm,
Bearing_625_Inner_Diameter,5 + Bearing_625_Extension,mm,
Bearing_625_Inner_Ring_Diameter,8,mm,
Bearing_625_Thickness,5,mm,
